nomAttribuant,nomBénéficiaire,montant,nature,objet,montant_reuse,datepublication,idAttribuant,dateConvention,referenceDecision,idBeneficiaire,conditionsVersement,datesPériodeVersement,idRAE,notificationUE,pourcentageSubvention,date_deb,date_fin,objet_reuse
BORDEAUX METROPOLE,OTCBM,3740000,aide en numéraire,aide au fonctionnement,Supérieur à 500 000€,45386,24330031600011.0,45343,2024/77,78180455400017.0,échelonné,2024-02-21/2024-08-21,sans objet,non,1.00,45343,,Autre objet
BORDEAUX METROPOLE,Villa Valmont,40000,aide en numéraire,aide au fonctionnement,Entre 30 000€ et 100 000€,45386,24330031600011.0,45365,2024/81,84937825200019.0,échelonné,2024-03-14/2024-09-14,sans objet,non,1.00,45365,,Autre objet
BORDEAUX METROPOLE,Escales Littéraires de Bordeaux Aquitaine,150000,aide en numéraire,Escale du Livre,Entre 100 000€ et 500 000€,45537,24330031600011.0,45419,2024/189,34426475900046.0,échelonné,2024-05-07/2024-11-07,sans objet,non,1.00,45419,,Autre objet
BORDEAUX METROPOLE,France Active Nouvelle Aquitaine,50000,aide en numéraire,aide au fonctionnement,Entre 30 000€ et 100 000€,45537,24330031600011.0,45432,2024/155,82101368700024.0,échelonné,2024-05-20/2024-11-20,sans objet,non,1.00,45432,,Autre objet
BORDEAUX METROPOLE,ADIE,43000,aide en numéraire,aide au fonctionnement,Entre 30 000€ et 100 000€,45537,24330031600011.0,45457,2024/155,35221687300211.0,échelonné,2024-06-14/2024-12-14,sans objet,non,1.00,45457,,Autre objet
BORDEAUX METROPOLE,Bordeax Aquitaine Inno'Vin,40000,aide en numéraire,aide au fonctionnement,Entre 30 000€ et 100 000€,45537,24330031600011.0,45450,2024/148,49874718700025.0,échelonné,2024-06-07/2024-12-07,sans objet,non,1.00,45450,,Autre objet
BORDEAUX METROPOLE,GIHP,30000,aide en numéraire,aide au fonctionnement,Inférieur à 30 000€,45537,24330031600011.0,45469,2024/179,31231100400039.0,échelonné,2024-06-26/2024-12-26,sans objet,non,1.00,45469,,Autre objet
BORDEAUX METROPOLE,ASSOCIATION ESPRIT DE CORPS,20000,aide en numéraire,codev,Inférieur à 30 000€,43853,24330031600000.0,43832,2019/748,42008956700000.0,échelonné,2020-01-02/2020-07-02,sans objet,non,1.00,43832,,Autre objet
BORDEAUX METROPOLE,AGEC & CO,14250,aide en numéraire,SMAC agglo scènes musiques actuelles,Inférieur à 30 000€,43929,24330031600000.0,43893,2020/63,49848483100000.0,échelonné,2020-03-03/2020-09-03,sans objet,non,1.00,43893,,Autre objet
BORDEAUX METROPOLE,LA FABRIQUE POLA,114000,aide en numéraire,Fonctionnement,Entre 100 000€ et 500 000€,43929,24330031600000.0,43916,2020/132,44433758800000.0,échelonné,2020-03-26/2020-09-26,sans objet,non,1.00,43916,,Fonctionnement
BORDEAUX METROPOLE,LE PARTENARIAT,29000,aide en numéraire,Appel à projet international solidarité eau,Inférieur à 30 000€,43984,24330031600000.0,43881,2020/112,32500114700000.0,échelonné,2020-02-20/2020-08-20,sans objet,non,1.00,43881,,Autre objet
